severity,station,date,product,qty,grossRevenue,unitPrice,expectedUnitPrice,variancePct,estimatedImpact,currency,sourceDocument,investigationParty,secondaryParty,reason
Normal,HKG,2026-05-18,Accessories,120,2400.0,20.0,20.0,0.0,0.0,HKD,HKG_Revenue_May26.csv,HKG station sales / document owner,Accessories category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,HKG,2026-05-18,Electronics,45,9000.0,200.0,200.0,0.0,0.0,HKD,HKG_Revenue_May26.csv,HKG station sales / document owner,Electronics category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,KIX,2026-05-18,Apparel,85,5100.0,60.0,60.0,0.0,0.0,HKD,KIX_Sales_Report.xlsx,KIX station sales / document owner,Apparel category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,KIX,2026-05-18,Electronics,30,6000.0,200.0,200.0,0.0,0.0,HKD,KIX_Sales_Report.xlsx,KIX station sales / document owner,Electronics category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,LHR,2026-05-18,Accessories,150,3000.0,20.0,20.0,0.0,0.0,HKD,LHR_Data_Export.xlsx,LHR station sales / document owner,Accessories category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,LHR,2026-05-18,Apparel,40,2400.0,60.0,60.0,0.0,0.0,HKD,LHR_Data_Export.xlsx,LHR station sales / document owner,Apparel category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,HKG,2026-05-19,Apparel,55,3300.0,60.0,60.0,0.0,0.0,HKD,HKG_Revenue_May26.csv,HKG station sales / document owner,Apparel category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,HKG,2026-05-19,Electronics,38,7600.0,200.0,200.0,0.0,0.0,HKD,HKG_Revenue_May26.csv,HKG station sales / document owner,Electronics category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,KIX,2026-05-19,Accessories,95,1900.0,20.0,20.0,0.0,0.0,HKD,KIX_Sales_Report.xlsx,KIX station sales / document owner,Accessories category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,KIX,2026-05-19,Electronics,42,8400.0,200.0,200.0,0.0,0.0,HKD,KIX_Sales_Report.xlsx,KIX station sales / document owner,Electronics category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,LHR,2026-05-19,Apparel,60,3600.0,60.0,60.0,0.0,0.0,HKD,LHR_Data_Export.xlsx,LHR station sales / document owner,Apparel category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,LHR,2026-05-19,Electronics,25,5000.0,200.0,200.0,0.0,0.0,HKD,LHR_Data_Export.xlsx,LHR station sales / document owner,Electronics category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,HKG,2026-05-20,Accessories,110,2200.0,20.0,20.0,0.0,0.0,HKD,HKG_Revenue_May26.csv,HKG station sales / document owner,Accessories category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,KIX,2026-05-20,Apparel,90,5400.0,60.0,60.0,0.0,0.0,HKD,KIX_Sales_Report.xlsx,KIX station sales / document owner,Apparel category owner / pricing owner,Unit price is within tolerance against the product benchmark.
Normal,LHR,2026-05-20,Electronics,28,5600.0,200.0,200.0,0.0,0.0,HKD,LHR_Data_Export.xlsx,LHR station sales / document owner,Electronics category owner / pricing owner,Unit price is within tolerance against the product benchmark.
